City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
55,caiaponia,-16.9567,-51.8103,20.57,91,68,2.17,BR,1675812848
56,sao gabriel da cachoeira,-0.1303,-67.0892,23.3,97,97,0.24,BR,1675812849
57,sambava,-14.2667,50.1667,23.68,89,88,3.26,MG,1675812850
58,saint george,37.1041,-113.5841,13.02,33,0,1.79,US,1675812648
59,pitkyaranta,61.5734,31.4792,-0.83,94,100,5.29,RU,1675812850
60,maroantsetra,-15.4333,49.7333,23.92,90,93,0.42,MG,1675812851
61,barrow,71.2906,-156.7887,-17.99,78,100,4.12,US,1675812852
62,sitka,57.0531,-135.33,3.94,75,0,3.6,US,1675812853
63,cidreira,-30.1811,-50.2056,24.51,77,23,6.13,BR,1675812854
64,georgiyevka,43.0369,74.7114,-4.98,93,100,1.0,KZ,1675812854
65,punta arenas,-53.15,-70.9167,16.06,63,40,4.63,CL,1675812775
66,mahebourg,-20.4081,57.7,26.16,83,75,7.2,MU,1675812856
67,torbay,47.6666,-52.7314,-4.12,84,75,11.32,CA,1675812857
68,san lorenzo,-25.3333,-57.5333,32.55,38,67,2.68,PY,1675812858
69,talara,-4.5772,-81.2719,28.42,57,0,4.12,PE,1675812860
70,la seyne-sur-mer,43.0982,5.8847,5.49,67,2,0.45,FR,1675812864
